ID (0), datetime (1), place (2), status (3), lastEditUser (4), idToEditor (5), idToEditTime (6), idToAgreedStatus (7), idToConfirmedStatus (8)
ae06f5d8-a318-441f-b007-3e5be000d8f7,2020-11-11T11:11,test2,INCOMPLETE,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false
d72130d4-d170-414d-a5d7-4cd2e490d75f,2020-12-12T12:12,toronto,INCOMPLETE,1217fee3-f489-4c50-be14-1cf65f4921cd,517c762e-1137-4d82-9214-0640b7da12e1;1217fee3-f489-4c50-be14-1cf65f4921cd,517c762e-1137-4d82-9214-0640b7da12e1=0;1217fee3-f489-4c50-be14-1cf65f4921cd=0,517c762e-1137-4d82-9214-0640b7da12e1=false;1217fee3-f489-4c50-be14-1cf65f4921cd=false,517c762e-1137-4d82-9214-0640b7da12e1=false;1217fee3-f489-4c50-be14-1cf65f4921cd=false
929665f7-7e9e-4648-99e5-069b96e92183,2020-12-12T12:12,toronto,COMPLETED,73bc117d-2ab4-4723-a220-c36a1a2c6a47,73bc117d-2ab4-4723-a220-c36a1a2c6a47;d8cd6438-eb63-46a4-b9f6-ffbbeac06187,73bc117d-2ab4-4723-a220-c36a1a2c6a47=0;d8cd6438-eb63-46a4-b9f6-ffbbeac06187=0,73bc117d-2ab4-4723-a220-c36a1a2c6a47=true;d8cd6438-eb63-46a4-b9f6-ffbbeac06187=true,73bc117d-2ab4-4723-a220-c36a1a2c6a47=true;d8cd6438-eb63-46a4-b9f6-ffbbeac06187=true
5292f687-77f8-41a0-b775-adff77ace91f,2020-12-12T12:12,toronto,INCOMPLETE,80128545-4322-4f69-8c9d-b6094e5b58f8,02d98635-4f87-430a-8b70-761a813b85c6;80128545-4322-4f69-8c9d-b6094e5b58f8,02d98635-4f87-430a-8b70-761a813b85c6=0;80128545-4322-4f69-8c9d-b6094e5b58f8=0,02d98635-4f87-430a-8b70-761a813b85c6=false;80128545-4322-4f69-8c9d-b6094e5b58f8=false,02d98635-4f87-430a-8b70-761a813b85c6=false;80128545-4322-4f69-8c9d-b6094e5b58f8=false
86ea6adb-4a35-463e-ad64-af0f279944ae,2211-11-11T11:11,test,INCOMPLETE,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false
bcd0bce7-e9c9-4d2b-88d6-b2ad19eeb5f8,2020-12-12T12:12,toronto,INCOMPLETE,b765377b-edca-46e0-854d-5327619a9635,b765377b-edca-46e0-854d-5327619a9635;2345ce2c-822b-4b22-be1b-a135af1ec0ce,b765377b-edca-46e0-854d-5327619a9635=0;2345ce2c-822b-4b22-be1b-a135af1ec0ce=0,b765377b-edca-46e0-854d-5327619a9635=false;2345ce2c-822b-4b22-be1b-a135af1ec0ce=false,b765377b-edca-46e0-854d-5327619a9635=false;2345ce2c-822b-4b22-be1b-a135af1ec0ce=false
facf5d26-494b-4151-bb06-64cf5700c381,2201-11-21T21:11,swweet je,INCOMPLETE,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=0,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false,321abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false;123abe4f-1ea2-4ef9-a5a5-6f3931e7b375=false
3d8706f0-08cd-4196-b824-d5886c47a2cb,2020-12-12T12:12,toronto,COMPLETED,14b40f47-7130-49c7-af84-50d2d45e2219,928599c0-84a0-4669-aaf8-f668ae210169;14b40f47-7130-49c7-af84-50d2d45e2219,928599c0-84a0-4669-aaf8-f668ae210169=0;14b40f47-7130-49c7-af84-50d2d45e2219=0,928599c0-84a0-4669-aaf8-f668ae210169=true;14b40f47-7130-49c7-af84-50d2d45e2219=true,928599c0-84a0-4669-aaf8-f668ae210169=true;14b40f47-7130-49c7-af84-50d2d45e2219=true
44605525-0968-47ad-92a9-3e094b60b14c,2020-12-12T12:12,toronto,INCOMPLETE,b765377b-edca-46e0-854d-5327619a9635,b765377b-edca-46e0-854d-5327619a9635;2345ce2c-822b-4b22-be1b-a135af1ec0ce,b765377b-edca-46e0-854d-5327619a9635=0;2345ce2c-822b-4b22-be1b-a135af1ec0ce=0,b765377b-edca-46e0-854d-5327619a9635=false;2345ce2c-822b-4b22-be1b-a135af1ec0ce=false,b765377b-edca-46e0-854d-5327619a9635=false;2345ce2c-822b-4b22-be1b-a135af1ec0ce=false
0b909783-df3c-4d3a-ba19-02a51da6a002,2020-12-12T12:12,markham,COMPLETED,e452505c-d9fb-4bc6-9862-9704f947bba0,e452505c-d9fb-4bc6-9862-9704f947bba0;4442c56c-e675-4abe-a631-76b4259f8d34,e452505c-d9fb-4bc6-9862-9704f947bba0=1;4442c56c-e675-4abe-a631-76b4259f8d34=0,e452505c-d9fb-4bc6-9862-9704f947bba0=true;4442c56c-e675-4abe-a631-76b4259f8d34=true,e452505c-d9fb-4bc6-9862-9704f947bba0=true;4442c56c-e675-4abe-a631-76b4259f8d34=true
